Variant,Method,RMSE_mean,RMSE_std,NLL_mean,NLL_std,Calibration_MAE_mean,Calibration_MAE_std,Mean_Epistemic_Std_mean,Mean_Epistemic_Std_std,Mean_Total_Std_mean,Mean_Total_Std_std,Fit_Time (s)_mean,Fit_Time (s)_std,Tune_Time (s)_mean,Tune_Time (s)_std
Kron / last layer / marglik,Laplace,0.309202892735949,0.009062475233967224,0.24697990190563793,0.030927438891379694,0.02064999999999998,0.004934056839711804,0.03465879037976265,0.0010987772462648336,0.2969935417175293,0.004410402952044239,0.09073615074157715,0.1344211440810598,0.41735076904296875,0.019422798896277575
Kron / last layer / gridsearch,Laplace,0.309202892735949,0.009062475233967224,0.2465376313879088,0.0309297114078478,0.020994736842105247,0.005423342643551375,0.03710085302591324,0.010338282244443647,0.29753537774086,0.0036262277178602097,0.022715377807617187,0.0014536034370475806,0.5033048629760742,0.0461626448214913
Kron / last layer / adam loop,Laplace,0.309202892735949,0.009062475233967224,0.24632754616954627,0.030459969473945393,0.01910789473684209,0.004498456183318998,0.03488021194934845,0.001157384767987507,0.29902672171592715,0.004749794731475792,0.023854541778564452,0.0020944377391540333,5.970359945297242,0.5715587639988354
Kron / all weights / marglik,Laplace,0.309202892735949,0.009062475233967224,0.24597505455758828,0.030636766430479065,0.018318421052631567,0.00421911459643362,0.05979683846235275,0.001921466201398064,0.3010891854763031,0.004552531759576586,0.03061952590942383,0.0006537957835057559,0.651838731765747,0.06186695254885692
Kron / all weights / gridsearch,Laplace,0.309202892735949,0.009062475233967224,0.24539306932134525,0.03081125324184213,0.017905263157894726,0.0062210069906598895,0.06250273175537586,0.02328925049095928,0.3026393413543701,0.0031640176416260993,0.03009624481201172,0.0009760895926056785,0.8747319221496582,0.08869613548822299
Kron / all weights / adam loop,Laplace,0.309202892735949,0.009062475233967224,0.24552900154444024,0.03025198223906455,0.016384210526315786,0.0030259656548024933,0.06017224416136742,0.002015941081155922,0.3031449854373932,0.004903155163936746,0.026589012145996092,0.0023377637648544594,7.985555362701416,0.941562099486139
Full / all weights / gridsearch,Laplace,0.309202892735949,0.009062475233967224,0.24658921133163175,0.030952853918303363,0.020599999999999983,0.005569080152019013,0.03685980476438999,0.010612943373842542,0.29750189185142517,0.0035867562948164833,0.878471565246582,0.05778310279488398,0.49954919815063475,0.0044123920592826936
Flipout / scratch,BT,0.31979883809595416,0.006026682298047478,0.3192237087771302,0.014910138008754919,0.06754210526315793,0.007090801071373733,0.12161425948143005,0.01910661063025366,0.397018700838089,0.0059227572268643796,12.967329406738282,1.5332056974796517,,
Flipout / moped,BT,0.39831431070713946,0.10552951219529803,0.5886326145727342,0.32359458267841135,0.11216842105263158,0.05188825717527019,0.4156110852956772,0.3252527151746962,0.6164628863334656,0.31036692164149277,8.372151374816895,2.8858667101254474,,
BBB / scratch,BT,0.31610994476520893,0.005399507866636355,0.310383557770904,0.010459388234159176,0.06915000000000002,0.007651143705355436,0.11759245842695236,0.00882372020576219,0.39535192847251893,0.001956537109971708,20.668104887008667,1.1220358578168133,,
BBB / moped,BT,0.603728532953675,0.01813956853699429,1.3394806563857962,0.10413645173177528,0.24225,0.037987168886348954,1.2654025673866272,0.18989261504258345,1.4116243600845337,0.1889292854021523,2.5520872116088866,0.7089120799980532,,
