Variant,Method,ID RMSE,OOD RMSE,ID NLL,OOD NLL,ID Epi,OOD Epi,Epi Ratio
Kron / last layer / marglik,Laplace,0.3092 ± 0.0091,1.5835 ± 0.0746,0.2470 ± 0.0309,9.1123 ± 2.4392,0.0347 ± 0.0011,0.2545 ± 0.0803,7.2859 ± 2.1400
Kron / last layer / gridsearch,Laplace,0.3092 ± 0.0091,1.5835 ± 0.0746,0.2465 ± 0.0309,7.3456 ± 5.0446,0.0371 ± 0.0103,3.6582 ± 4.8028,77.1485 ± 97.7799
Kron / last layer / adam loop,Laplace,0.3092 ± 0.0091,1.5835 ± 0.0746,0.2463 ± 0.0305,9.0230 ± 2.4164,0.0349 ± 0.0012,0.2551 ± 0.0806,7.2568 ± 2.1340
Kron / all weights / marglik,Laplace,0.3092 ± 0.0091,1.5835 ± 0.0746,0.2460 ± 0.0306,5.4179 ± 1.8295,0.0598 ± 0.0019,0.5933 ± 0.2374,9.8395 ± 3.7229
Kron / all weights / gridsearch,Laplace,0.3092 ± 0.0091,1.5835 ± 0.0746,0.2454 ± 0.0308,7.1534 ± 4.9226,0.0625 ± 0.0233,3.8675 ± 5.0938,47.5671 ± 63.8736
Kron / all weights / adam loop,Laplace,0.3092 ± 0.0091,1.5835 ± 0.0746,0.2455 ± 0.0303,5.3720 ± 1.8053,0.0602 ± 0.0020,0.5938 ± 0.2362,9.7925 ± 3.6938
Full / all weights / gridsearch,Laplace,0.3092 ± 0.0091,1.5835 ± 0.0746,0.2466 ± 0.0310,7.5302 ± 4.8818,0.0369 ± 0.0106,4.1296 ± 5.1526,87.6212 ± 107.9210
Flipout / scratch,BT,0.3198 ± 0.0060,2.6134 ± 0.0796,0.3192 ± 0.0149,20.0801 ± 1.5751,0.1216 ± 0.0191,0.1519 ± 0.0210,1.2615 ± 0.1612
Flipout / moped,BT,0.3983 ± 0.1055,2.2729 ± 0.5762,0.5886 ± 0.3236,11.6601 ± 6.1422,0.4156 ± 0.3253,0.4158 ± 0.2123,1.1780 ± 0.4378
BBB / scratch,BT,0.3161 ± 0.0054,2.5112 ± 0.0613,0.3104 ± 0.0105,18.8684 ± 0.9010,0.1176 ± 0.0088,0.1441 ± 0.0130,1.2267 ± 0.0773
BBB / moped,BT,0.6037 ± 0.0181,1.0325 ± 0.0386,1.3395 ± 0.1041,1.5134 ± 0.0543,1.2654 ± 0.1899,1.1266 ± 0.1523,0.8939 ± 0.0530
