Variant,Tune_Method,Fit_Time (s),Tune_Time (s),Prior_Precision,Sigma_Noise,Mean_Epistemic_Std,Mean_Aleatoric_Std,Mean_Total_Std,RMSE,MAE,NLL,Calibration_MAE,Calibration_MSE,Calibration_Corr,Max_Calibration_Gap,Coverage_68,Coverage_95,Method,Model_Type,Init,Epochs,Best_Val_MSE
Kron / last layer / marglik,marglik,0.6512680053710938,0.03999471664428711,2.0912508964538574,0.29373276233673096,0.03381417205557227,0.29373276233673096,0.29577185440014797,0.29899288162318965,0.23821415023878217,0.21208164054349116,0.014592105263157884,0.0003015131578947368,0.9985778193835462,0.035,0.66,0.94,Laplace,,,,
Kron / last layer / gridsearch,gridsearch,0.722252607345581,11.36507272720337,10000.0,0.29373276233673096,0.018256162060424685,0.29373276233673096,0.294305022084486,0.29899288162318965,0.23821415023878217,0.2118659186649955,0.014618421052631564,0.0003078289473684206,0.9987344225572018,0.035,0.66,0.935,Laplace,,,,
Kron / last layer / adam loop,adam_loop,0.7401001453399658,0.48770809173583984,2.0953047275543213,0.2939647138118744,0.033835792588070034,0.2939647138118744,0.2960047842798213,0.29899288162318965,0.23821415023878217,0.2120641599192762,0.014342105263157887,0.0002980263157894736,0.9986272828173716,0.035,0.66,0.94,Laplace,,,,
Kron / all weights / marglik,marglik,0.29347848892211914,0.03168010711669922,0.26861289143562317,0.29373276233673096,0.0576572891138494,0.29373276233673096,0.29960284905241147,0.29899288162318965,0.23821415023878217,0.21306231423026475,0.012460526315789481,0.0002500657894736844,0.9987365620092564,0.035,0.66,0.95,Laplace,,,,
Kron / all weights / gridsearch,gridsearch,0.2941925525665283,9.580991268157959,10000.0,0.29373276233673096,0.025790469413623215,0.29373276233673096,0.2949189587822251,0.29899288162318965,0.23821415023878217,0.21198406898072222,0.013868421052631568,0.00028197368421052605,0.9987845730973502,0.035,0.66,0.94,Laplace,,,,
Kron / all weights / adam loop,adam_loop,0.2949674129486084,0.3215460777282715,0.2684721350669861,0.2939647138118744,0.05770007124170661,0.2939647138118744,0.29983882405692797,0.29899288162318965,0.23821415023878217,0.21306335480143854,0.012710526315789474,0.0002523684210526317,0.9986946369624181,0.035,0.66,0.95,Laplace,,,,
Full / all weights / gridsearch,gridsearch,0.3505997657775879,8.067461013793945,8302.17578125,0.29373276233673096,0.02003813412040472,0.29373276233673096,0.2944237555323731,0.29899288162318965,0.23821415023878217,0.21192782733228183,0.014368421052631563,0.00030223684210526274,0.9987567986084724,0.035,0.66,0.935,Laplace,,,,
Flipout / scratch,,535.0237245559692,,,,0.13725820120424032,0.29999999999999993,0.3315855122786248,0.31009279363782627,0.25048029006575234,0.25802085350973053,0.018657894736842116,0.0005730263157894745,0.9982006383288659,0.05421052631578949,0.74,0.965,BNN,Flipout,scratch,479.0,0.11728809028863907
Flipout / moped,,244.04340624809265,,,,0.3159336742758751,0.29999999999999993,0.43706307394563865,0.35004167259946295,0.27698088536970317,0.4182300574716251,0.07450000000000001,0.006565657894736847,0.9937210199731688,0.14131578947368428,0.78,0.985,BNN,Flipout,MOPED,400.0,0.1465933918952942
BBB / scratch,,565.276453256607,,,,0.1246814227849245,0.29999999999999993,0.3266023786555401,0.3082616664205397,0.24827317570801824,0.25052889010449364,0.014618421052631596,0.0003569078947368426,0.9988605185862119,0.03710526315789475,0.715,0.965,BNN,Reparameterization,scratch,1000.0,0.11889223754405975
BBB / moped,,77.95018672943115,,,,1.1771994099020957,0.29999999999999993,1.2155172520621906,0.6277034997520595,0.5191819214366842,1.2281621685067916,0.19725000000000006,0.04905651315789475,0.951096161004851,0.34131578947368424,0.98,1.0,BNN,Reparameterization,MOPED,135.0,0.3470964729785919
