Variant,Method,ID NLL,OOD NLL,ID RMSE,OOD RMSE,ID Coverage_95,OOD Coverage_95,ID Epistemic,OOD Epistemic,Epistemic Ratio (OOD/ID)
Kron / last layer / marglik,Laplace,0.21208164054349116,9.9704224348192,0.29899288162318965,1.618047223773046,0.94,0.315,0.03381417319178581,0.2430526316165924,7.187892196294991
Kron / last layer / gridsearch,Laplace,0.2118659186649955,14.791118482719785,0.29899288162318965,1.618047223773046,0.935,0.26,0.018256163224577904,0.0212539155036211,1.1642049449822611
Kron / last layer / adam loop,Laplace,0.2120641599192762,9.964029874971876,0.29899288162318965,1.618047223773046,0.94,0.315,0.03383579105138779,0.2428801953792572,7.178203547929677
Kron / all weights / marglik,Laplace,0.21306231423026475,5.023224068513194,0.29899288162318965,1.618047223773046,0.95,0.425,0.05765729025006294,0.6226719617843628,10.799535654086407
Kron / all weights / gridsearch,Laplace,0.21198406898072222,14.789849104337495,0.29899288162318965,1.618047223773046,0.94,0.26,0.025790467858314514,0.02174208126962185,0.8430277957043519
Kron / all weights / adam loop,Laplace,0.21306335480143854,5.018153205199324,0.29899288162318965,1.618047223773046,0.95,0.425,0.05770007148385048,0.6229348182678223,10.796083994997783
Full / all weights / gridsearch,Laplace,0.21192782733228183,14.645331015611164,0.29899288162318965,1.618047223773046,0.935,0.26,0.02003813348710537,0.0341888852417469,1.70619111116519
Flipout / scratch,BNN,0.25802085350973053,28.140664272197842,0.31009279363782627,2.656215144819865,0.965,0.23,0.13725820183753967,0.16616924107074738,1.2106325075292512
Flipout / moped,BNN,0.4182300574716251,19.328228965041454,0.35004167259946295,2.747325393613506,0.985,0.24,0.3159336745738983,0.3232700228691101,1.023221165974419
BBB / scratch,BNN,0.25052889010449364,28.99393465127298,0.3082616664205397,2.548944093075447,0.965,0.235,0.12468141317367554,0.13283337652683258,1.0653823464507604
BBB / moped,BNN,1.2281621685067916,1.4964499622979472,0.6277034997520595,0.9950664209523851,1.0,0.94,1.177199363708496,1.1281790733337402,0.9583585483589737
