Variant,ID RMSE,ID NLL,ID Cal MAE,ID Epi,OOD RMSE,OOD NLL,OOD Epi,Epi Ratio,Epochs
Flipout / scratch (ref),0.3264 ± 0.0013,0.2965 ± 0.0038,0.0156 ± 0.0028,0.1245 ± 0.0157,2.6139 ± 0.0968,28.1994 ± 1.9555,0.1568 ± 0.0171,1.2629 ± 0.0290,528 ± 66
Flipout / moped / δ=0.5,0.3945 ± 0.0930,0.5800 ± 0.3408,0.1117 ± 0.0607,0.5126 ± 0.3719,2.2864 ± 0.5995,14.6947 ± 6.8729,0.4799 ± 0.3415,0.9419 ± 0.0374,341 ± 118
BBB / scratch (ref),0.3251 ± 0.0004,0.2933 ± 0.0013,0.0170 ± 0.0042,0.1152 ± 0.0070,2.5090 ± 0.0763,26.2415 ± 1.3650,0.1531 ± 0.0100,1.3290 ± 0.0488,991 ± 19
BBB / moped / δ=0.5,0.6192 ± 0.0156,1.2462 ± 0.1098,0.2022 ± 0.0341,1.2218 ± 0.1777,1.0560 ± 0.1653,1.5364 ± 0.1468,1.1064 ± 0.2020,0.9021 ± 0.0622,126 ± 34
Flipout / moped / δ=0.05,0.3189 ± 0.0008,0.2904 ± 0.0106,0.0455 ± 0.0134,0.1763 ± 0.0241,1.5342 ± 0.0776,11.8421 ± 1.1882,0.0898 ± 0.0103,0.5123 ± 0.0378,111 ± 22
Flipout / moped / δ=0.1,0.3222 ± 0.0016,0.3391 ± 0.0603,0.0733 ± 0.0414,0.2482 ± 0.1048,1.6704 ± 0.1460,12.7047 ± 3.5877,0.1477 ± 0.0492,0.6248 ± 0.0737,210 ± 122
Flipout / moped / δ=0.2,0.3303 ± 0.0122,0.3357 ± 0.0900,0.0516 ± 0.0347,0.2276 ± 0.1117,2.3203 ± 0.3877,21.9725 ± 7.7272,0.1947 ± 0.0777,0.8985 ± 0.2163,344 ± 89
BBB / moped / δ=0.05,0.3200 ± 0.0011,0.2966 ± 0.0120,0.0447 ± 0.0152,0.1808 ± 0.0212,1.5459 ± 0.0906,12.0775 ± 1.3486,0.0877 ± 0.0079,0.4914 ± 0.0668,112 ± 27
BBB / moped / δ=0.1,0.3266 ± 0.0031,0.3755 ± 0.0454,0.0937 ± 0.0286,0.3050 ± 0.0685,1.5514 ± 0.0934,10.1565 ± 0.7012,0.1679 ± 0.0357,0.5566 ± 0.0523,161 ± 94
BBB / moped / δ=0.2,0.3796 ± 0.0142,0.6693 ± 0.0235,0.1736 ± 0.0049,0.6041 ± 0.0216,1.4939 ± 0.1396,5.2252 ± 0.4616,0.3833 ± 0.0423,0.6344 ± 0.0660,120 ± 12
