Variant,ID RMSE,ID NLL,ID Cal MAE,ID Epi,OOD RMSE,OOD NLL,OOD Epi,Epi Ratio,Epochs
Flipout / scratch (ref),0.3101,0.2580,0.0187,0.1373,2.6562,28.1407,0.1662,1.2106,479
Flipout / moped / δ=0.5,0.3500,0.4182,0.0745,0.3159,2.7473,19.3282,0.3233,1.0232,400
BBB / scratch (ref),0.3083,0.2505,0.0146,0.1247,2.5489,28.9939,0.1328,1.0654,1000
BBB / moped / δ=0.5,0.6277,1.2282,0.1973,1.1772,0.9951,1.4964,1.1282,0.9584,135
Flipout / moped / δ=0.05,0.3003,0.2374,0.0330,0.1379,1.5628,12.5674,0.0775,0.5619,171
Flipout / moped / δ=0.1,0.3028,0.2504,0.0400,0.1668,1.8195,16.1404,0.1106,0.6630,279
Flipout / moped / δ=0.2,0.3088,0.2585,0.0287,0.1609,2.5124,29.4321,0.1322,0.8217,400
BBB / moped / δ=0.05,0.3097,0.2686,0.0335,0.1638,1.5576,12.3708,0.0834,0.5093,143
BBB / moped / δ=0.1,0.3362,0.3907,0.0772,0.3065,1.5212,9.9243,0.1672,0.5453,143
BBB / moped / δ=0.2,0.4210,0.6346,0.1010,0.5031,1.4895,6.1085,0.3319,0.6596,174
