Variant,ID RMSE,OOD RMSE,ID NLL,OOD NLL,ID Epi,OOD Epi,Epi Ratio
Diag / all / marglik,0.3173 ± 0.0089,1.7251 ± 0.2111,0.3235 ± 0.0110,8.8069 ± 2.0845,0.2685 ± 0.0149,0.3694 ± 0.0781,1.3782 ± 0.2969
Diag / all / gridsearch,0.3173 ± 0.0089,1.7251 ± 0.2111,0.3116 ± 0.0260,9.9777 ± 2.8569,0.2337 ± 0.0766,0.4722 ± 0.2822,1.8358 ± 0.7986
Kron / all / marglik,0.3173 ± 0.0089,1.7251 ± 0.2111,0.2763 ± 0.0244,2.6409 ± 0.8843,0.1200 ± 0.0083,1.9698 ± 0.3761,16.5712 ± 3.6787
Kron / all / gridsearch,0.3173 ± 0.0089,1.7251 ± 0.2111,0.2738 ± 0.0249,7.0279 ± 5.0017,0.1169 ± 0.0443,7.9804 ± 9.0695,49.9767 ± 52.1547
Full / all / marglik,0.3173 ± 0.0089,1.7251 ± 0.2111,0.2763 ± 0.0288,2.3095 ± 0.1344,0.0848 ± 0.0074,3.3301 ± 0.4270,39.5866 ± 6.3112
Full / all / gridsearch,0.3173 ± 0.0089,1.7251 ± 0.2111,0.2758 ± 0.0314,8.7543 ± 5.4321,0.0639 ± 0.0233,1.8351 ± 2.2829,20.8547 ± 22.6022
Full / last layer / marglik,0.3173 ± 0.0089,1.7251 ± 0.2111,0.2782 ± 0.0319,7.4864 ± 2.7718,0.0638 ± 0.0048,0.8398 ± 0.0922,13.2522 ± 1.8717
Full / last layer / gridsearch,0.3173 ± 0.0089,1.7251 ± 0.2111,0.2762 ± 0.0316,10.3506 ± 6.0472,0.0564 ± 0.0182,1.8694 ± 2.1482,25.1688 ± 26.3214
Kron / last layer / marglik,0.3173 ± 0.0089,1.7251 ± 0.2111,0.2780 ± 0.0314,7.7077 ± 2.8282,0.0683 ± 0.0050,0.6955 ± 0.0930,10.2670 ± 1.7527
Kron / last layer / gridsearch,0.3173 ± 0.0089,1.7251 ± 0.2111,0.2728 ± 0.0285,8.0109 ± 4.7797,0.0755 ± 0.0272,6.1610 ± 6.7289,60.7979 ± 61.8829
Kron / all / adam loop,0.3173 ± 0.0089,1.7251 ± 0.2111,0.2763 ± 0.0250,2.6465 ± 0.8923,0.1196 ± 0.0083,1.9655 ± 0.3774,16.5876 ± 3.6949
Kron / last layer / adam loop,0.3173 ± 0.0089,1.7251 ± 0.2111,0.2783 ± 0.0320,7.7420 ± 2.8436,0.0681 ± 0.0050,0.6948 ± 0.0929,10.2896 ± 1.7573
