Model Type,Hessian_Structure,Subset_Of_Weights,Tune_Method,Fit_Time (s),Tune_Time (s),Prior_Precision,Sigma_Noise,RMSE,MAE,NLL,Calibration_MAE,Calibration_MSE,Calibration_Corr,Max_Calibration_Gap,Coverage_68,Coverage_95,Mean_Epistemic_Std,Mean_Aleatoric_Std,Mean_Total_Std
Diag / all / marglik,diag,all,marglik,0.2642366886138916,0.025498628616333008,1.0366578102111816,0.3238704204559326,0.30059053731208873,0.23763377061858773,0.31589746707572236,0.11740000000000003,0.015847452631578954,0.9884831938584692,0.18094736842105263,0.852,0.992,0.27543385380506513,0.3238704204559326,0.42574342515753666
Diag / all / gridsearch,diag,all,gridsearch,0.28728818893432617,14.529397249221802,31.257158279418945,0.3238704204559326,0.30059053731208873,0.23763377061858773,0.2872306838080208,0.10080000000000004,0.011543705263157901,0.9923586751583667,0.15357894736842104,0.82,0.988,0.23628451603651046,0.3238704204559326,0.4017101588221703
Kron / all / marglik,kron,all,marglik,0.5453896522521973,0.07472658157348633,0.20587822794914246,0.3238704204559326,0.30059053731208873,0.23763377061858773,0.2341173052510237,0.05680000000000004,0.0037035368421052665,0.9974648809121227,0.09421052631578952,0.772,0.972,0.12639643213152885,0.3238704204559326,0.34931939987117755
Kron / all / gridsearch,kron,all,gridsearch,0.5284438133239746,18.87133812904358,31.257158279418945,0.3238704204559326,0.30059053731208873,0.23763377061858773,0.22791292450606795,0.04420000000000003,0.002196421052631582,0.9986802700875013,0.0702105263157895,0.76,0.968,0.09264065861701966,0.3238704204559326,0.3371595157283104
Full / all / marglik,full,all,marglik,8.388712406158447,16.70997190475464,0.08870262652635574,0.3238704204559326,0.30059053731208873,0.23763377061858773,0.22852880149579263,0.04540000000000004,0.0023368000000000035,0.9985048948424193,0.0742105263157895,0.764,0.968,0.08838265547156333,0.3238704204559326,0.3376087847671977
Full / all / gridsearch,full,all,gridsearch,9.495076179504395,27.218059062957764,1555.6761474609375,0.3238704204559326,0.30059053731208873,0.23763377061858773,0.22360091038869956,0.035400000000000036,0.0014189052631578974,0.9990188863333207,0.0662105263157895,0.744,0.968,0.04722535301744938,0.3238704204559326,0.32732932954274657
Full / last layer / marglik,full,last_layer,marglik,0.13178491592407227,5.109011173248291,0.799548327922821,0.3238704204559326,0.30059053731208873,0.23763377061858773,0.2250627371013325,0.04080000000000004,0.0018909052631578976,0.9987412326513896,0.0702105263157895,0.748,0.968,0.06798640923202037,0.3238704204559326,0.33229014039979826
Full / last layer / gridsearch,full,last_layer,gridsearch,0.3182201385498047,11.916033744812012,613.5906982421875,0.3238704204559326,0.30059053731208873,0.23763377061858773,0.22316601324555654,0.03480000000000004,0.0013784000000000027,0.9990237389403043,0.0662105263157895,0.74,0.968,0.04133416445553303,0.3238704204559326,0.3265570921190492
Kron / last layer / marglik,kron,last_layer,marglik,0.23369789123535156,0.06614398956298828,0.9239678978919983,0.3238704204559326,0.30059053731208873,0.23763377061858773,0.22557229885478045,0.041000000000000036,0.001907578947368424,0.998737838460124,0.0702105263157895,0.748,0.968,0.07298939962685108,0.3238704204559326,0.33322350241316123
Kron / last layer / gridsearch,kron,last_layer,gridsearch,0.2606639862060547,2.6242458820343018,31.257158279418945,0.3238704204559326,0.30059053731208873,0.23763377061858773,0.2241725094901769,0.03900000000000004,0.0017287157894736876,0.9988454027104121,0.0702105263157895,0.748,0.968,0.0619721190482378,0.3238704204559326,0.33017409347161913
Kron / all / adam loop,kron,all,adam_loop,0.5604970455169678,0.6940138339996338,0.2077091932296753,0.3227890431880951,0.30059053731208873,0.23763377061858773,0.23324100907462492,0.05540000000000004,0.00353065263157895,0.9974699554619203,0.09421052631578952,0.768,0.968,0.125960433781147,0.3227890431880951,0.3481472594966877
Kron / last layer / adam loop,kron,last_layer,adam_loop,0.2777266502380371,1.181626319885254,0.9242956042289734,0.3227890431880951,0.30059053731208873,0.23763377061858773,0.2249570111223257,0.04080000000000004,0.0018909052631578976,0.9987412326513896,0.0702105263157895,0.748,0.968,0.07276095889508724,0.3227890431880951,0.3321153551016414
