Variant,Accuracy_mean,Accuracy_std,NLL_mean,NLL_std,Brier_Score_mean,Brier_Score_std,ECE_mean,ECE_std,Fit_Time (s)_mean,Fit_Time (s)_std,Tune_Time (s)_mean,Tune_Time (s)_std,Inf_Time (s)_mean,Inf_Time (s)_std
Diag / all weights / gridsearch,0.9139000000000002,0.008929725639682346,0.20953599214553834,0.01687912760707625,0.06268617436289788,0.0056779065318276305,0.012550311642885215,0.0021428073369013758,0.30143013000488283,0.10267363887149429,5.45363712310791,1.7087349651985815,0.020629405975341797,0.0001210000009686178
Diag / all weights / marglik,0.9139000000000002,0.008929725639682346,0.2111835479736328,0.01586190022113287,0.06288978531956672,0.0054563171662190425,0.016981245553493497,0.005381984091572627,0.2966797351837158,0.10400133897309143,0.07395730018615723,0.03324388316559152,0.020569467544555665,7.93587405699408e-05
Full / all weights / gridsearch,0.9139000000000002,0.008929725639682346,0.20953584015369414,0.01688090664673194,0.06268608346581458,0.005678246595797593,0.012545312768220915,0.0021442405205538005,1033.859050798416,16.94413506508215,13.75834846496582,1.7985219897269689,0.03172535896301269,6.491422964060965e-05
Full / all weights / marglik,0.9139000000000002,0.008929725639682346,0.32331963777542116,0.029978191366280632,0.08865440636873245,0.009591203308546927,0.15144247612953188,0.029388878122553887,1051.2610781669616,17.605414350668315,2.1829490184783937,0.2681582382788458,0.03185315132141113,4.663516163327337e-05
Kron / all weights / gridsearch,0.9139000000000002,0.008929725639682346,0.20953603386878966,0.016880068215994772,0.0626861497759819,0.005678073869999338,0.012547580552101149,0.0021436348220162005,0.5495086193084717,0.048142456730977966,7.1157073974609375,1.9552992062569043,0.021547603607177734,0.0001933106543319521
Kron / all weights / marglik,0.9139000000000002,0.008929725639682346,0.25761235058307647,0.021243851078565305,0.07139565646648408,0.006118657325805265,0.08441117132306099,0.02309241048057976,0.5570600032806396,0.030316775424705747,0.14195947647094725,0.030702621355066583,0.021454381942749023,0.00021558052087762523
Full / last layer / gridsearch,0.9139000000000002,0.008929725639682346,0.20953572392463685,0.016882797044804002,0.06268598660826682,0.005678598779165709,0.012527382433414475,0.0021284991316000805,11.073871183395386,1.825767450830342,1.9364720344543458,0.3419913091578678,0.0006570816040039062,8.307674776457583e-05
Full / last layer / marglik,0.9139000000000002,0.008929725639682346,0.23773038685321807,0.015499664204268838,0.06725143194198609,0.005206784713750849,0.06007695995569229,0.015641142025355256,10.971002435684204,1.4065900575267754,0.08669867515563964,0.00611578111737507,0.0005840778350830079,3.878254707989146e-05
Kron / last layer / gridsearch,0.9139000000000002,0.008929725639682346,0.20953570902347565,0.01688283081670206,0.0626859836280346,0.005678599565524596,0.012527446347475064,0.002128518512206821,0.500948429107666,0.10839229446727956,2.8040956974029543,0.6715623386019209,0.0004658222198486328,4.2528261147855636e-05
Kron / last layer / marglik,0.9139000000000002,0.008929725639682346,0.2333453118801117,0.015134494067928553,0.06645608544349671,0.005149394114223617,0.054496133410930625,0.015100985150081398,0.41532115936279296,0.029714801688626512,0.088519287109375,0.016518713187446642,0.00045561790466308594,3.567366621831529e-05
