Variant,ID 1 - Confidence,OOD 1 - Confidence,ID Aleatoric,OOD Aleatoric,ID Epistemic,OOD Epistemic,Δ Epistemic (OOD-ID)
Diag / all weights / gridsearch,0.0787980854511261,0.0004040589847136289,0.19437283277511597,0.003053045831620693,0.00021848069445695728,3.843692411464872e-06,-0.00021463699522428215
Diag / all weights / marglik,0.10731872916221619,0.0015900639118626714,0.2069454789161682,0.005520504899322987,0.055143263190984726,0.0019099644850939512,-0.053233299404382706
Full / all weights / gridsearch,0.07876105606555939,0.00040548472316004336,0.19438506662845612,0.003056371584534645,0.00013133187894709408,2.617074642330408e-06,-0.00012871480430476367
Full / all weights / marglik,0.08138035237789154,0.01004925835877657,0.19983337819576263,0.024792835116386414,0.004301605746150017,0.021990487352013588,0.01768888160586357
Kron / all weights / gridsearch,0.07878191024065018,0.00040557474130764604,0.19438299536705017,0.0030571208335459232,0.00018642637587618083,2.9943569188617403e-06,-0.00018343201372772455
Kron / all weights / marglik,0.08273296803236008,0.001713919686153531,0.1987411230802536,0.0057044196873903275,0.006674138829112053,0.002149943495169282,-0.004524195566773415
Full / last layer / gridsearch,0.07869956642389297,0.00040285318391397595,0.1943288892507553,0.0030478271655738354,6.0274702263996005e-05,6.352557306854578e-07,-5.9639445680659264e-05
Full / last layer / marglik,0.0792311429977417,0.0004914584569633007,0.1951686292886734,0.00358643289655447,0.0008301457273773849,9.65921935858205e-05,-0.0007335535483434796
Kron / last layer / gridsearch,0.07871295511722565,0.0004025587404612452,0.19433066248893738,0.0030466513708233833,7.053335866658017e-05,5.583470965575543e-07,-6.997500895522535e-05
Kron / last layer / marglik,0.07912592589855194,0.00042217582813464105,0.19446009397506714,0.003146502422168851,0.0007970584556460381,1.70711318787653e-05,-0.0007799873128533363
