Model Type,Subset_Of_Weights,Hessian_Structure,Tune_Method,Fit_Time (s),Tune_Time (s),Inf_Time (s),Prior_Precision,Accuracy,NLL,Brier_Score,ECE,Mean_Confidence,Mean_Entropy,1 - Confidence,ExpectedVsActual_Uncertainty_MAE,ExpectedVsActual_Uncertainty_MSE,ExpectedVsActual_Uncertainty_Corr,Max_Binned_Uncertainty_Gap,Classwise_ECE,Mean_Actual_Error
Diag / all weights / gridsearch,all,diag,gridsearch,0.2326667308807373,4.013152837753296,0.0208742618560791,10000.0,0.92,0.18982425332069397,0.05636841803789139,0.010086929082870521,0.9212771654129028,0.1944555789232254,0.07872286438941956,0.01008692908287052,0.000805967548719166,0.959020182400918,0.19674073934555047,0.010086929082870521,0.08
Diag / all weights / marglik,all,diag,marglik,0.19713568687438965,0.056290626525878906,0.020840883255004883,8.729751586914062,0.92,0.19205346703529358,0.056719765067100525,0.01593513965606691,0.9120935201644897,0.21897265315055847,0.08790650963783264,0.015935139656066914,0.000816656074397889,0.9548488792948022,0.19611766508647377,0.015935140237212198,0.08
Full / all weights / gridsearch,all,full,gridsearch,1262.9691894054413,11.42334794998169,0.03403830528259277,10000.0,0.92,0.18982315063476562,0.0563681535422802,0.010079296171665229,0.9212915301322937,0.19442035257816315,0.07870848476886749,0.010079296171665229,0.0008058913368970613,0.9590298589843897,0.19674318313598627,0.01007929429411892,0.08
Full / all weights / marglik,all,full,marglik,1122.3712360858917,1.8827049732208252,0.03387713432312012,0.5189489126205444,0.92,0.30706945061683655,0.0822647362947464,0.15227101358771322,0.7711254954338074,0.499679833650589,0.22887448966503143,0.15227101358771322,0.025733033161539787,0.9134333224421037,0.21799993041961907,0.1522710270434618,0.08
Kron / all weights / gridsearch,all,kron,gridsearch,0.5416817665100098,5.293517112731934,0.021962404251098633,10000.0,0.92,0.18982379138469696,0.056368302553892136,0.010083142936229743,0.9212839603424072,0.194438174366951,0.07871607691049576,0.010083142936229741,0.0008059294096240129,0.9590243679383944,0.19674181222915643,0.010083163261413612,0.08
Kron / all weights / marglik,all,kron,marglik,0.5311946868896484,0.09641075134277344,0.021798133850097656,1.419533371925354,0.92,0.2379651963710785,0.06474683433771133,0.08551391780376436,0.8413803577423096,0.3772883415222168,0.15861962735652924,0.08551391780376434,0.009073797944676965,0.922783585934113,0.15176963492443685,0.08551391780376436,0.08
Full / last layer / gridsearch,last_layer,full,gridsearch,7.1220481395721436,1.5203211307525635,0.0007560253143310547,10000.0,0.92,0.18982166051864624,0.05636776238679886,0.010071718871593513,0.921303927898407,0.19438597559928894,0.07869604974985123,0.010071718871593511,0.0008058132330903396,0.9590361317400925,0.19674425601959222,0.010071761071682013,0.08
Full / last layer / marglik,last_layer,full,marglik,7.133857250213623,0.08820414543151855,0.0007770061492919922,1.7870969772338867,0.92,0.226007878780365,0.06233516335487366,0.07028008577227593,0.8554155230522156,0.34835246205329895,0.14458447694778442,0.07028008577227592,0.006486541214952006,0.9347561244001128,0.13560870999381658,0.07028008514642715,0.08
Kron / last layer / gridsearch,last_layer,kron,gridsearch,0.4290885925292969,1.8542239665985107,0.001226663589477539,10000.0,0.92,0.18982163071632385,0.05636774003505707,0.010071829468011892,0.921303391456604,0.19438640773296356,0.07869657874107361,0.010071829468011892,0.000805815990785292,0.9590349925549234,0.19674401760101312,0.010071828573942222,0.08
Kron / last layer / marglik,last_layer,kron,marglik,0.4381601810455322,0.07606720924377441,0.0006098747253417969,2.036848306655884,0.92,0.22076161205768585,0.0613425076007843,0.06372066590189931,0.8619354367256165,0.3343576490879059,0.13806460797786713,0.06372066590189931,0.00549505229917905,0.9377701490005942,0.14140158891677856,0.06372064842283723,0.08
