Model Type,Subset_Of_Weights,Hessian_Structure,Tune_Method,Fit_Time (s),Tune_Time (s),Inf_Time (s),Prior_Precision,Accuracy,NLL,Brier_Score,ECE,Mean_Confidence,Mean_Entropy,1 - Confidence,ExpectedVsActual_Uncertainty_MAE,ExpectedVsActual_Uncertainty_MSE,ExpectedVsActual_Uncertainty_Corr,Max_Binned_Uncertainty_Gap,Classwise_ECE,Mean_Actual_Error
Diag / all weights / gridsearch,all,diag,gridsearch,0.2691822052001953,4.719946384429932,0.022707700729370117,10000.0,0.9985,0.0035689817741513252,0.0007620031828992069,0.0025992805063724516,0.9974544644355774,0.00941974576562643,0.002545506926253438,0.0025992805063724516,0.00047580284648682356,0.9365808358914696,0.6237344741821289,0.002599280551075935,0.0015
Diag / all weights / marglik,all,diag,marglik,0.22090506553649902,0.07480216026306152,0.02292013168334961,3.2048192024230957,0.9985,0.09774450957775116,0.012417251244187355,0.08964051157236098,0.9095873832702637,0.28142809867858887,0.09041258692741394,0.089640511572361,0.011630750457904808,0.7506540108497641,0.508337140083313,0.08964051920175553,0.0015
Full / all weights / gridsearch,all,full,gridsearch,1040.0917615890503,12.791438341140747,0.03590893745422363,10000.0,0.9985,0.0035683608148247004,0.0007619732641614974,0.0025986815392971038,0.9974551796913147,0.009416887536644936,0.0025448345113545656,0.0025986815392971038,0.00047578480326752805,0.9365951212463284,0.6237452626228333,0.0025986815392971038,0.0015
Full / all weights / marglik,all,full,marglik,1013.6300613880157,2.2883734703063965,0.03623461723327637,0.17707152664661407,0.9985,0.0420246422290802,0.0029332120902836323,0.0396283086836338,0.9599650502204895,0.15944764018058777,0.04003497213125229,0.03962830868363381,0.002456199006646075,0.8445406662754041,0.5736331343650818,0.0396283066868782,0.0015
Kron / all weights / gridsearch,all,kron,gridsearch,0.6926043033599854,6.3605406284332275,0.02470254898071289,10000.0,0.9985,0.0035683989990502596,0.0007619764655828476,0.0025986962020397185,0.9974551200866699,0.009417040273547173,0.002544879214838147,0.0025986962020397185,0.00047578781889301257,0.9365915404851013,0.6237471103668213,0.0025986962020397185,0.0015
Kron / all weights / marglik,all,kron,marglik,0.5806407928466797,0.15543127059936523,0.023645401000976562,0.2980990707874298,0.9985,0.029551807790994644,0.0022131442092359066,0.027516105890274048,0.9720820188522339,0.11570949107408524,0.027917999774217606,0.02751610589027405,0.0017068100376783615,0.8391988169687633,0.5771853923797607,0.02751613372564316,0.0015
Full / last layer / gridsearch,last_layer,full,gridsearch,12.15711236000061,1.8687446117401123,0.0012466907501220703,10000.0,0.9985,0.003547994652763009,0.0007609723834320903,0.0025786248445510865,0.9974768161773682,0.009322823025286198,0.002523171016946435,0.0025786248445510865,0.0004733437022491991,0.9367554926573788,0.6241493821144104,0.002578654378652573,0.0015
Full / last layer / marglik,last_layer,full,marglik,10.08171272277832,0.08424115180969238,0.0010173320770263672,0.1307557374238968,0.9985,0.035859353840351105,0.002257904503494501,0.034088379859924314,0.9657657742500305,0.142385333776474,0.03423425927758217,0.03408837985992432,0.0019031360598044424,0.8546732035596785,0.5781559944152832,0.03408837987482548,0.0015
Kron / last layer / gridsearch,last_layer,kron,gridsearch,0.4884037971496582,2.4113247394561768,0.0006144046783447266,10000.0,0.9985,0.003547994652763009,0.0007609723834320903,0.0025786248445510865,0.9974768161773682,0.009322823025286198,0.002523171016946435,0.0025786248445510865,0.0004733437022491991,0.9367554926573788,0.6241493821144104,0.002578654378652573,0.0015
Kron / last layer / marglik,last_layer,kron,marglik,0.43372201919555664,0.08369112014770508,0.0005962848663330078,0.13254323601722717,0.9985,0.03452696651220322,0.0021725865080952644,0.03280087769031524,0.967055082321167,0.1379045993089676,0.032944921404123306,0.03280087769031524,0.0018157644761241836,0.8552198436165898,0.5785908699035645,0.03280087742209434,0.0015
